,comentario,toxico,homofobico,obsceno,insulto,racismo,misogino,xenofobia
44771,GENTE UM ACEFALO NÃO SABER QNTO É 8X7??????  VAI EM MANIFESTAÇÃO PRA QUE?? ESSE VIDEO MOSTRA O QUE ESTÃO SENDO CRIADO DENTRO DAS UNIVERSIDADES.......NÃO PASSAM DE MACONHEIROS VICIADOS !!!!!,1.0,0.0,0.0,1.0,0.0,0.0,0.0
70968,fernanda piranha!,1.0,0.0,0.0,0.0,0.0,1.0,0.0
32684,"Isso me lembra quando perguntaram ao Cristóvão Buarque, nos EUA, se ele concordava em socializar a Amazônia. Ele disse que sim, mas só se a França socializadas o Louvre, o primeiro mundo socializadas as riquezas concentradas, etc. Essa o Bolsonaro acertou na testa. Vai de novo, gringo engomadinho.",1.0,0.0,0.0,0.0,0.0,0.0,1.0
72783,"""Não podemos ser tolerantes com quem é intolerante"" kkkkkk essa foi de foder",1.0,0.0,1.0,0.0,0.0,0.0,0.0
40522,"Irmão aki ninguém passo o pano, larga a mão de dar o buraco, falou merda nois destrói seu bobão, e vc errou nesse vídeo, dxa de passar pano seu viadinho!! Eh nois ae MBL💪💪 os pingos nos is ta na merda Joooooo calaboca, tão metendo os viadinho pra apresenta essa jovem pan do caraio",1.0,1.0,1.0,0.0,0.0,0.0,0.0
63254,"O povo de Juiz de Fora acha que é carioca , esse o motivo que o fato aconteceu lá ! hahaha",1.0,0.0,0.0,0.0,0.0,0.0,1.0
71344,"caramba PC é verdade isso que você ta falando, meus filhos depois que começaram a ver você, começaram a introduzir nas frases, os palavrões ... kkkk porra meu tu ta dando trabalho cacete!! claro que a culpa não é só tua é minha também, por que continuo deixando eles ver este teu programa, mas só depois de eu ver primeiro p q tem umas coisas q não da .... bom mais beleza curtimos ai kkkkkkkkkkkkkkkkkkkkkk família brasileira ta assistindo o PC .... abração velho pinta ai no sul quando poder..",1.0,0.0,1.0,0.0,0.0,0.0,0.0
51100,"É isso ai kim...
Essa boca de avc do carai e essa narizinho, bando de mulher nojenta da porra..",1.0,0.0,1.0,0.0,0.0,0.0,0.0
42366,Vai tomar no seu cu filho da puta do caralho tem vídeo da treta seu arrombado do caralho vai se fode vc são um bando de oportunista dos infernos,1.0,0.0,1.0,0.0,0.0,1.0,0.0
25672,"Se tivessemos a pena de morte no Brasil, estes VAGABUNDOS seriam TODOS enforcados em praça pública. Lula, Renam canalha seriam os primeiros a decer no buraco.em seguida o resto do bando! Ao som da orquestra Sinfónica do Rio...bando de PORCOS COMUNISTAS! Viva Moro.vida longa ao BOLSONARO!!!",1.0,0.0,1.0,1.0,0.0,0.0,0.0
25012,"Arram, arram, arram vtnc!!!",1.0,0.0,1.0,0.0,0.0,0.0,0.0
52642,"Governos do PT desviar bilhões em corrupção: ""Hummm, bom... Fazer o que...""

Bolsonaro falar besteira sobre algo: ""meu Deus! Pior governo ever! Corram para as colinas!


Na boa... Não me agrada a postura do Bolsonaro como presidente, mas esse relativismo canalha não dá pra aguentar.

Vão tomar no c*!",1.0,0.0,0.0,1.0,0.0,0.0,0.0
13033,"Alba, o teu Villa da de 10 no do Carioca.",1.0,0.0,0.0,0.0,0.0,0.0,1.0
55423,"parece um viadinho jogando. "" mata pra mim""  kkkkkk",1.0,1.0,0.0,0.0,0.0,0.0,0.0
6213,A reporter diz serar que ela nao estar apaixonada kkkkkkk essa reporter nunca se apaixonou sera que essa reporter nao sabe o que e paixao que chega comfundir paixao com golpe que ridiculo,1.0,0.0,1.0,1.0,0.0,0.0,0.0
66994,Cadê o link da loja cacete?,1.0,0.0,1.0,0.0,0.0,0.0,0.0
58274,Da hora o canal tem mete o PAL nesse neoconservadores,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1483,"kkkkkkkkkk Companheiros quero a liberdade sapo barbudo!! Volta Dilma anta kkkkkk! A biba só demonstrou de fato que ele é um cretino e canalha! Presidente Bolsonaro estou contigo!!! Mídia suja está esperneando, pois a torneira esta secando. Viva o Brasil! Fora Comunismo!",1.0,1.0,0.0,1.0,0.0,0.0,0.0
17836,"A Tabata é a esquerda inteligente... Nao vai com a velha e esterica esquerda,apoia a reforma mas quer um publico para ela,no caso,os prefessores...E obviamente o pdt ta puto com ela e sempre que algo acontece os ""prejudicados"" jogam alguma merda no ar pra queimar a pessoa.",1.0,0.0,1.0,0.0,0.0,0.0,0.0
73560,"Me da mais raiva da platéia para quem ela fala, fica lá inerte acreditando nessa louca. Povo ignorante pra caraio aff.",1.0,0.0,1.0,0.0,0.0,0.0,0.0
