,Unnamed: 0,user_id,user_name,user_location,user_description,user_friends_count,user_is_verified,user_followers_count,user_tweets_count,user_favorites_count,user_created_at,tweet_text,tweet_urls,tweet_mentions,tweet_hashtags,tweet_replies,tweet_favorites,toxico,homofobico,obsceno,racismo,insulto,misogino,xenofobia
15319,56556,1.1088093855334973e+18,brasil_is_over,Querendo vazar do Brasil,"PU-SI-LÂ-NI-ME:
(1) que revela pusilanimidade, fraqueza moral; covarde, medroso, fraco; (2) ...; (3) diz-se de ou indivíduo medroso, covarde, poltrão.",77.0,False,277,3404,29485,2019,"@BlogdoNoblat Pelo amor de Deus, Noblat... vc é mais esclarecido. Não é possível q caia nessa de q ""o hacker confessou"" e logo foi noticiado no antagoniza e alguns lambe-bolas da dupla globo/estadao. Estamos falando da mesma PF q não encontra Queiroz, não acessa celular da irma do Aecio etc..",[],['BlogdoNoblat'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49895,167992,2887557755.0,_ToiM22,"Charlotte, NC","Carioca - @Botafogo
Aqui no meu perfil, eu sou responsável pelo que eu falo, não pelo que você entende!!
#AssumeMoreiraSalles",273.0,False,117,4879,1969,2014,"@mariosabinof @silvioluiz então fi... assim... queria estragar a sua brincadeira não... mas ela já confirmou a história, inclusive...",[],"['mariosabinof', 'silvioluiz']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137071,414071,9.577876055669185e+17,rocha_beaa,,Perdida no Twitter 🐾,204.0,False,20,90,523,2018,@felipeneto ô mimimi chato,[],['felipeneto'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244920,771568,1.1278800381148979e+18,BolsominionM,,Esquerda é a escória. Nossa bandeira jamais será vermelha,271.0,False,144,94,11,2019,@brumelianebrum @jeanwyllys_real Ninguém mandou matar ninguém. Até pq Marielle era uma insignificante. Morta ou viva não ia fazer diferença alguma pra ninguém. Não digita asneiras,[],"['brumelianebrum', 'jeanwyllys_real']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237143,744014,1.149630477843628e+18,endiretado,"Fortaleza, Brasil","Um coringa, conservador, libertário, analisado por Jung. Nascido para espalhar o caos aos pensamentos esquerdistas de mentes massificadas. E palmeirense, claro!",158.0,False,4,76,15,2019,@miltonneves um pessoa que não goza.,[],['Miltonneves'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63700,212673,9.932479412121641e+17,LenBerg19,,"Journalist, main focus: cultural, political issues, academic background: social sciences, love fine arts, literature, live in Italy/Brazil",153.0,False,117,5404,13453,2018,@demori ‘e bandido cagando regras.,[],['demori'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10887,41407,186914689.0,sandrafraiha,Floripa,PAZ ! !,469.0,False,297,32218,51056,2010,"@claudioedantas sim..acredito, .as vezes não é tão rápido..  acredito que a semeadura é opcional.. mas a colheita obrigatória..😏🤔🙄🙏🙌",[],['claudioedantas'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237237,744321,8.920471076071873e+17,AngelaBTour,"Brasília, Brasil","Angela Baltazar, MARRIED, 2 kids , CONSERVATIVE, pro-life. BORN AGAIN. De direita. NÃO É PERFIL PROFISSIONAL. É MINHA TERAPIA.",516.0,False,325,5319,16199,2017,@veramagalhaes que gênia vc!,[],['veramagalhaes'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202656,625242,46222931.0,diegsf,"Rio de Janeiro, cidade linda!",Jornalista. Pesquisador em Relações Étnico-Raciais Cefet/RJ,686.0,False,470,6642,1510,2009,@cecillia ia tuitar isso!,[],['Cecillia'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44371,150499,1.1313882952865341e+18,MauraMa84356475,,"Redes sociais podem ser tóxicas,por vezes até letais.Podem produzir zumbis e monstros se não soubermos administrá-las conscientemente.Seja:luz,amor e paz.🇧🇷🕊",121.0,False,39,654,6100,2019,"@mariosabinof @lolaperucchi Uma sujeita dessas ainda ficou em segundo lugar pleiteando vaga para vice presidente da República.
Olha o nível da sabedoria eleitoral do nosso país.😕
Eu tenho família,por isso me obriguei ficar bem informada para ajudá-los entender a importância do voto de cada um,para o país.",[],"['mariosabinof', 'lolaperucchi']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
